label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.Bulk,78.0,None,None,,,False,False
input.Red1,6.0,None,None,,,False,False
input.Red2,2.0,None,None,,,False,False
input.RC,6.0,None,None,,,False,False
input.1,1.0,None,None,,,False,False
input.Chlf1,6.0,None,None,,,False,False
input.Chlf2,2.0,None,None,,,False,False
inputFRL670.Ant1,860.392822,None,None,,,False,False
inputFRL670.Bulk,339.7082114,0.008257178,None,,,False,False
inputFRL670.Red1,0.0,None,None,,,False,False
inputFRL670.Red2,0.0,None,None,,,False,False
inputFRL670.FRLRC,0.0,None,None,,,False,False
inputFRL670.0,0.0,None,None,,,False,False
inputFRL670.Chlf1,176.2317835,0.011046155,None,,,False,False
inputFRL670.Chlf2,129.1421755,0.008866099,None,,,False,False
inputFRL700.Ant1,1.32e-87,2.376925631,None,,,False,False
inputFRL700.Bulk,4.13842201,None,$inputWL700.Bulk,,,False,False
inputFRL700.Red1,0.004141101,0.01076606,$inputWL700.Red1,,,False,False
inputFRL700.Red2,2.6899999999999997e-40,0.604989057,$inputWL700.Red2,,,False,False
inputFRL700.FRLRC,0.688258594,0.008907188,None,,,False,False
inputFRL700.0,0.0,None,None,,,False,False
inputFRL700.Chlf1,0.063190774,0.142717998,None,,,False,False
inputFRL700.Chlf2,0.0,None,None,,,False,False
inputFRL740.Ant1,0.0,None,None,,,False,False
inputFRL740.Bulk,0.0,None,None,,,False,False
inputFRL740.Red1,0.0,None,None,,,False,False
inputFRL740.Red2,0.0,None,None,,,False,False
inputFRL740.FRLRC,74.97503716,0.031507468,None,,,False,False
inputFRL740.0,0.0,None,None,,,False,False
inputFRL740.Chlf1,1042.05688,None,None,,,False,False
inputFRL740.Chlf2,408.4678621,0.008766982,None,,,False,False
inputWL700.Ant1,0.0,90353.21941,None,,,False,False
inputWL700.Bulk,4.13842201,None,None,,,False,False
inputWL700.Red1,0.004141101,0.042597933,None,,,False,False
inputWL700.Red2,2.6899999999999997e-40,10.13607874,None,,,False,False
inputWL700.WLRC,11.77944806,0.010038813,None,,,False,False
inputWL700.0,0.0,None,None,,,False,False
inputWL720.Ant1,0.0,None,None,,,False,False
inputWL720.Bulk,0.0,None,None,,,False,False
inputWL720.Red1,1.04200912,None,None,,,False,False
inputWL720.Red2,2.464101775,0.010539566,None,,,False,False
inputWL720.WLRC,2.613678207,0.015622278,None,,,False,False
input.0,0.0,None,None,,,False,False
rates.kF,0.000273,None,None,,,False,False
rates.kFa2,0.009713957,0.044388054,None,,,False,False
rates.kFf,0.0002,None,None,,,False,False
rates.WLRP1,0.0585,None,None,,,False,False
rates.FRLRP1,0.06,0.000453766,None,,,False,False
rates.gRed1C,-0.7113982056073089,0.0033956386816508593,None,,,False,True
rates.gRed2C,-0.08275841664134526,0.002342484775126765,None,,,False,True
rates.ToBulkFromRed1,0.332168822,0.004755115,None,,,False,False
rates.ToRed1FromBulk,0.16308069408884387,None,$rates.ToBulkFromRed1*exp($rates.gRed1C),,,False,False
rates.ToBulkFromRed2,0.052336103,0.002835745,None,,,False,False
rates.ToRed2FromBulk,0.048179230331544094,None,$rates.ToBulkFromRed2*exp($rates.gRed2C),,,False,False
rates.gChlf1C,2.0511496630683776,0.002439709492901006,None,,,False,True
rates.gChlf2C,2.6045355795694753,0.0030982326430427356,None,,,False,True
rates.ToBulkFromChlf1,0.011310507,0.005363486,None,,,False,False
rates.ToChlf1FromBulk,0.08795996605547966,None,$rates.ToBulkFromChlf1*exp($rates.gChlf1C),,,False,False
rates.ToBulkFromChlf2,0.001641696,0.011430072,None,,,False,False
rates.ToChlf2FromBulk,0.02220384414086077,None,$rates.ToBulkFromChlf2*exp($rates.gChlf2C),,,False,False
rates.gWLRCC,-1.5,0.002064131,None,,,False,False
rates.ToBulkFromWLRC,0.5447424980498383,0.0010117034499868877,None,,,False,True
rates.ToWLRCFromBulk,0.12154848082951614,None,$rates.ToBulkFromWLRC*exp($rates.gWLRCC),,,False,False
rates.gFRLRCC,1.75,0.003752552,None,,,False,False
rates.ToBulkFromFRLRC,0.02000876,0.002644237,None,,,False,False
rates.ToFRLRCFromBulk,0.11514246383955642,None,$rates.ToBulkFromFRLRC*exp($rates.gFRLRCC),,,False,False
rates.gWLRP1C_gWLRCC,5.12,None,$yrates.gWLRP1C-$rates.gWLRCC,,,False,False
rates.ToWLRCFromWLRP1,0.005378420605505348,None,$rates.ToWLRP1FromWLRC*exp(-$rates.gWLRP1C_gWLRCC),,,False,False
rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
rates.gFRLRP1C_gFRLRCC,2.0,None,$yrates.gFRLRP1C-$rates.gFRLRCC,,,False,False
rates.ToFRLRCFromFRLRP1,0.04060058497098381,None,$rates.ToFRLRP1FromFRLRC*exp(-$rates.gFRLRP1C_gFRLRCC),,,False,False
rates.ToFRLRP1FromFRLRC,0.3,0.000852734,None,,,False,False
rates.gChlf2C_gFRLRCC,0.8545355795694753,None,$rates.gChlf2C-$rates.gFRLRCC,,,False,False
rates.ToFRLRCFromChlf2,0.008482573519903785,9.648213704955956e-06,None,,,False,True
rates.ToChlf2FromFRLRC,0.01993644501332634,None,$rates.ToFRLRCFromChlf2*exp($rates.gChlf2C_gFRLRCC),,,False,False
